Designator,Mid X,Mid Y,Layer,Rotation
A1,68,-19.1134,top,0
A2,68,-29.1134,top,0
A3,68,-39.1134,top,0
A4,68,-49.1134,top,0
A5,68,-59.1134,top,0
A6,68,-69.1134,top,0
B1,137.922,-48.514,top,0
Batt1,70.866,-99.568,top,180
C1,122.488888,-72.39,top,0
C2,122.488888,-63.119,top,0
C3,148.017,-66.548,top,180
C4,143.064,-71.374,top,90
C5,143.064,-74.676,top,90
C6,143.064,-77.978,top,-90
C7,137.2362,-70.612,top,0
Converter1,118.2878,-23.6728,top,180
D3,130.81,-96.266,top,0
DATA1,158.2,-87.498,top,90
F1,70.358,-84.582,top,0
J1,147.955,-46.8834,top,0
J2,78.486,-101.6,top,180
Jst1,85.09,-93.98,top,-90
Pro1,104.14,-87.122,top,90
Q1,135.7242,-61.6284,top,-90
R1,93.599,-95.505,top,90
R2,93.599,-92.393,top,90
R3,93.599,-84.582,top,-90
R4,93.599,-87.757,top,90
R5,93.599,-80.01,top,-90
R6,93.599,-76.898,top,90
R7,118.872,-86.487,top,90
R8,120.523,-86.487,top,90
R9,122.174,-86.487,top,90
R10,138.938,-86.487,top,90
R11,140.589,-86.487,top,90
R12,125.984,-86.487,top,-90
R13,127.635,-86.487,top,-90
R14,137.16,-86.487,top,-90
R15,140.4232,-63.2794,top,90
R16,138.7722,-63.2794,top,90
R17,153.8732,-88.4936,top,0
R18,153.8478,-86.487,top,0
R19,132.1308,-68.0974,top,-90
R20,133.7564,-68.0974,top,-90
REF**,151.0538,-102.0064,top,0
REF**,81.6856,-36.6776,top,0
REF**,151.003,-59.944,top,0
REF**,92.0496,-102.0318,top,0
REF**,92,-60,top,0
SW2,162.9156,-100.8634,top,0
Sw1,107.048,-65.278,top,0
U2,147.89,-72.644,top,0
U3,133.2738,-76.9366,top,0
USB1,158.2,-27.498,top,90
USB2,158.2,-47.498,top,90
USB3,158.2,-67.498,top,90
Y1,146.558,-82.296,top,180
